Customer_ID,Name,Age,SSN,Occupation,snapshot_date
CUS_0x1000,Alistair Barrf,18,913-74-1218,Lawyer,2023-05-01
CUS_0x1026,Josephv,52,500-62-9044,Manager,2023-10-01
CUS_0x103e,Tim Kellyf,40,155-72-8070,Scientist,2024-12-01
CUS_0x104e,Kentaros,50,837-93-5062,Teacher,2023-06-01
CUS_0x107c,Karenh,15,712-17-7369,Journalist,2023-11-01
CUS_0x10c0,Scheyderx,39,658-53-1756,Architect,2024-02-01
CUS_0x1123,Suzannep,15,917-49-8240,Writer,2024-10-01
CUS_0x1145,Blenkinsopr,24,426-31-9194,Teacher,2024-08-01
CUS_0x1168,Philipm,42,773-33-0379,Writer,2023-10-01
CUS_0x11e2,Valetkevitchr,34,809-04-1419,Musician,2024-12-01
CUS_0x1231,James Reganc,39,780-20-7811,Journalist,2024-11-01
CUS_0x1233,Tetsushi Kajimotox,51,816-01-8282,Entrepreneur,2024-05-01
CUS_0x123a,Michelle Martinh,14,669-29-3700,Media_Manager,2023-03-01
CUS_0x1252,Irene Preisingera,28,938-09-5300,Entrepreneur,2023-02-01
CUS_0x1281,ernardop,18,728-18-4971,Writer,2023-11-01
CUS_0x12af,Marius Zahariao,37,430-21-6270,Manager,2024-03-01
CUS_0x12d1,Hirschlers,41,618-45-3370,Accountant,2024-01-01
CUS_0x12ef,Christiaans,43,912-09-9755,Mechanic,2024-02-01
CUS_0x12fc,illo,18,439-29-4580,Manager,2024-03-01
CUS_0x131f,Silke Koltrowitzl,46,006-11-7238,Developer,2024-05-01
CUS_0x1325,Philipz,27,918-42-0845,Accountant,2023-01-01
CUS_0x133e,Carews,41,914-49-0079,Entrepreneur,2024-01-01
CUS_0x13bc,Rie Ishiguroi,23,934-82-6083,Engineer,2023-11-01
CUS_0x13c2,Menonv,40_,090-98-4724,Teacher,2024-02-01
CUS_0x13d6,Michaelk,44,502-34-9558,Engineer,2023-07-01
CUS_0x13f6,Levinea,46,178-96-0125,Entrepreneur,2023-07-01
CUS_0x1422,Eva Kuehnent,16,#F%$D@*&8,Developer,2024-04-01
CUS_0x1470,Jatindrax,24,541-60-3931,Accountant,2024-02-01
